No,Message,Emotion,Feeling,,
23," #23:  justgabby. ed ""  joshturnermusic: To hear  randytravis sing “Amen” Saturday night at the  opry will remain one of the most moving moments of my career.…""",happy moments,happy,  joshturnermusic: To hear  randytravis sing “Amen” Saturday night at the  opry will remain one of the most moving moments of my career.…,happy moments
24," #24:  هـديــل| Hadeel ed ""Somewhere in the middle of our happy moments, we sigh a little, in the memory of someone we’re missing*.""",happy moments,happy,"Somewhere in the middle of our happy moments, we sigh a little, in the memory of someone we’re missing*.",happy moments
25," #25:  sarah rodgers ed ""  joshturnermusic: To hear  randytravis sing “Amen” Saturday night at the  opry will remain one of the most moving moments of my career.…""",happy moments,happy,  joshturnermusic: To hear  randytravis sing “Amen” Saturday night at the  opry will remain one of the most moving moments of my career.…,happy moments
26," #26:  Julien Duncan ed ""  frenchscotjeff: Cherish all your happy moments; they make a fine cushion for old age. (Booth Tarkington)A special day today on the…""",happy moments,happy,  frenchscotjeff: Cherish all your happy moments; they make a fine cushion for old age. (Booth Tarkington)A special day today on the…,happy moments
27," #27:  KZK2 ed ""  PahxHolic: Here’s to the Sweetest person I know❤️Happy Burday Erica🥳May this special day bring you endless joy and tons of precious…""",happy moments,happy,  PahxHolic: Here’s to the Sweetest person I know❤️Happy Burday Erica🥳May this special day bring you endless joy and tons of precious…,happy moments
28," #28:  Meta Videos ed ""Happy Moments – Capture Smiles with OPPO F11 Pro – Mate Videos https://t.co/TTSigsxZnE via  YouTube""",happy moments,happy,Happy Moments – Capture Smiles with OPPO F11 Pro – Mate Videos https://t.co/TTSigsxZnE via  YouTube,happy moments
29," #29:  Cherry🍒Blossom🌸 ed ""  AshTanDefenders: AshTan Moments are the best and makes us happy! Love you two!#PBB8BlackCircle | AshTan https://t.co/uckxrN4wf6""",happy moments,happy,  AshTanDefenders: AshTan Moments are the best and makes us happy! Love you two!#PBB8BlackCircle | AshTan https://t.co/uckxrN4wf6,happy moments
30," #30:  ᴍᴀʀʟᴇɴᴇ ed ""  blissedbailey: ‘    “Some of the best moments in life are the ones you can’t tell anyone about. “…""",happy moments,happy,  blissedbailey: ‘    “Some of the best moments in life are the ones you can’t tell anyone about. “…,happy moments
31," #31:  Jamal Samuel ed ""Life is setup to make you believe that most happy moments, will last forever..🤞🏾""",happy moments,happy,"Life is setup to make you believe that most happy moments, will last forever..🤞🏾",happy moments
32," #32:  Md Maskorul Alom ed ""Happy moments!   Shopnopuri Dinajpur https://t.co/NL0wg4qx01""",happy moments,happy,Happy moments!   Shopnopuri Dinajpur https://t.co/NL0wg4qx01,happy moments
33," #33:  69.93% SLAYIN ed ""  AshTanDefenders: AshTan Moments are the best and makes us happy! Love you two!#PBB8BlackCircle | AshTan https://t.co/uckxrN4wf6""",happy moments,happy,  AshTanDefenders: AshTan Moments are the best and makes us happy! Love you two!#PBB8BlackCircle | AshTan https://t.co/uckxrN4wf6,happy moments
34," #34:  • NICK • ed "" BTS_twt I am so happy that you are happy, and I really want this feeling to be family to you ..What matters most is to see them happy and fulfilled! So be good Hobi, and make the most of all these special moments !! We are here for you and with you ♡We love you, our little sun 💛""",happy moments,happy," BTS_twt I am so happy that you are happy, and I really want this feeling to be family to you ..What matters most is to see them happy and fulfilled! So be good Hobi, and make the most of all these special moments !! We are here for you and with you ♡We love you, our little sun 💛",happy moments
35," #35:  24 ed ""Somewhere in the middle of our happy moments, we sigh a little, in the memory of someone we’re missing""",happy moments,happy,"Somewhere in the middle of our happy moments, we sigh a little, in the memory of someone we’re missing",happy moments
36," #36:  Laura ed "" BTS_twt  coarselife I'm glad you're spending your time with happy moments and the things you like 😊💜 https://t.co/pdJ43sihsV""",happy moments,happy, BTS_twt  coarselife I'm glad you're spending your time with happy moments and the things you like 😊💜 https://t.co/pdJ43sihsV,happy moments
37," #37:  - ed ""  lastvibes: “Somewhere in the middle of our happy moments, we sigh a little, in the memory of someone we’re missing.”""",happy moments,happy,"  lastvibes: “Somewhere in the middle of our happy moments, we sigh a little, in the memory of someone we’re missing.”",happy moments
38," #38:  chennaidiamonds ed ""#Happy #AkshyaTritiya#diamonds#pure#real#rare#diamonds#celebrations#precious#moments   Chennai, India https://t.co/w6A26peSIo""",happy moments,happy,"#Happy #AkshyaTritiya#diamonds#pure#real#rare#diamonds#celebrations#precious#moments   Chennai, India https://t.co/w6A26peSIo",happy moments
39," #39:  Marie ed "" KentThiry  DaVita A wonderful moment in time.. happy to have been on this journey with you... you will be missed but i know with all my ♥️ Davita is in good hands!! I cherish all the moments 💙💛 thank you. OFA!!!""",happy moments,happy, KentThiry  DaVita A wonderful moment in time.. happy to have been on this journey with you... you will be missed but i know with all my ♥️ Davita is in good hands!! I cherish all the moments 💙💛 thank you. OFA!!!,happy moments
40," #40:  Narcos ✨ ed ""Happy bihday boy tequila na laging wasak sa inuman! 🍻 Enjoy your day my amigo more lasing moments hahaha sa fb natong video nimo nga  mintras nag kamang ga suka hehe 😘  mr_swaveh https://t.co/gZ5pCvrBXq""",happy moments,happy,Happy bihday boy tequila na laging wasak sa inuman! 🍻 Enjoy your day my amigo more lasing moments hahaha sa fb natong video nimo nga  mintras nag kamang ga suka hehe 😘  mr_swaveh https://t.co/gZ5pCvrBXq,happy moments
41," #41:  Sheep in Wolf's clothing. ed ""Happy Bihday to my two friends close to my hea <3  PrettyPaulaChu  imcharlyy Sana makahang-out ko ulit kayo haha. Looking forward to more conces with you and more bonding moments! I LOVE YOU TWOOOOOO! God Bless sainyo <3.""",happy moments,happy,Happy Bihday to my two friends close to my hea <3  PrettyPaulaChu  imcharlyy Sana makahang-out ko ulit kayo haha. Looking forward to more conces with you and more bonding moments! I LOVE YOU TWOOOOOO! God Bless sainyo <3.,happy moments
42," #42:  مي ed ""“Somewhere in the middle of our happy moments, we sigh a little, in the memory of someone we’re missing.”""",happy moments,happy,"“Somewhere in the middle of our happy moments, we sigh a little, in the memory of someone we’re missing.”",happy moments
43," #43:  Camille ed ""Why Im absolutely positive that true friendship is not about how long youve known someone. Ive been through a lot with this girl in just a sho time - funny, happy, sad moments. I will forever treasure those times,  superjhen_. Here's to hoping we'll have more soon. ❤ https://t.co/ncHPaAlinw""",happy moments,happy,"Why Im absolutely positive that true friendship is not about how long youve known someone. Ive been through a lot with this girl in just a sho time - funny, happy, sad moments. I will forever treasure those times,  superjhen_. Here's to hoping we'll have more soon. ❤ https://t.co/ncHPaAlinw",happy moments
44," #44:  Theo saw BTS May 4th ed "" yoongorgeous  BTS_twt  BigHitEnt Thank you BTS for showing me that my life can have happy moments. Thank you for giving me a reason to smile when I wanted to give up. Thank you for being the reason I have friends so dear to me. ~ Theo 15 🇺🇸""",happy moments,happy, yoongorgeous  BTS_twt  BigHitEnt Thank you BTS for showing me that my life can have happy moments. Thank you for giving me a reason to smile when I wanted to give up. Thank you for being the reason I have friends so dear to me. ~ Theo 15 🇺🇸,happy moments
45," #45:  Raein Maizel Hebia ed ""Pero hoooy happy ko para kay daying after all the hilak moments para sa mga tao na way ayo niabot najud sa point nga naa na siyay ipa ila ila sa iyang parents 😍😭. Oh God please di na unta ni sya makafeel ug kasakit 🙏🏻""",happy moments,happy,Pero hoooy happy ko para kay daying after all the hilak moments para sa mga tao na way ayo niabot najud sa point nga naa na siyay ipa ila ila sa iyang parents 😍😭. Oh God please di na unta ni sya makafeel ug kasakit 🙏🏻,happy moments
46," #46:  Tristanne B ed """"Happy moments I praise GodQuiet moments I worship GodDifficult moments I trust GodBut most impoantly all moments I thank God.""""",happy moments,happy,,happy moments
47," #47:  chowkidar pawan rajput ed ""  SanjayTandonBJP: Happy moments! With Sh  AnupamPKher ji during Nomination Yatra.#LokSabhaElections2019 #PhirEkBaarModiSarkar https://…""",happy moments,happy,  SanjayTandonBJP: Happy moments! With Sh  AnupamPKher ji during Nomination Yatra.#LokSabhaElections2019 #PhirEkBaarModiSarkar https://…,happy moments
48," #48:  Tegernako ed ""  HLJoshy: I need you all to pray for me and my baby. I was going to do a cute announcement but right now it’s not happy moments. I am in…""",happy moments,happy,  HLJoshy: I need you all to pray for me and my baby. I was going to do a cute announcement but right now it’s not happy moments. I am in…,happy moments
49," #49:  Christopher ed ""  joshturnermusic: To hear  randytravis sing “Amen” Saturday night at the  opry will remain one of the most moving moments of my career.…""",happy moments,happy,  joshturnermusic: To hear  randytravis sing “Amen” Saturday night at the  opry will remain one of the most moving moments of my career.…,happy moments
50," #50:  Jovi fan ed "" lauren_hoggs Just because people are excited for happy news doesn’t make them not care about sad news. Please don’t ruin a happy moments with politics. Now is not the time""",happy moments,happy, lauren_hoggs Just because people are excited for happy news doesn’t make them not care about sad news. Please don’t ruin a happy moments with politics. Now is not the time,happy moments
51," #51:   Bernardo_Castro ed "" violetaitalia Just think of happy moments ayawg hunahunaa nga sad ka Kay mo Samot kag ka sad ayawg ikulong imong self Ana nga situation life is so beautiful so dont let that thing ruined your day😂 naunsa ko? 😂😂😂😂😂😂""",happy moments,happy, violetaitalia Just think of happy moments ayawg hunahunaa nga sad ka Kay mo Samot kag ka sad ayawg ikulong imong self Ana nga situation life is so beautiful so dont let that thing ruined your day😂 naunsa ko? 😂😂😂😂😂😂,happy moments
52," #52:  Kelly Waters ed ""  joshturnermusic: To hear  randytravis sing “Amen” Saturday night at the  opry will remain one of the most moving moments of my career.…""",happy moments,happy,  joshturnermusic: To hear  randytravis sing “Amen” Saturday night at the  opry will remain one of the most moving moments of my career.…,happy moments
53," #53:  scott flores ed ""  landtshow: Happy first weekend of May Boneheads. To celebrate  1077TheBone presents a #MAYtallica weekend. Listen all weekend long as w…""",happy moments,happy,  landtshow: Happy first weekend of May Boneheads. To celebrate  1077TheBone presents a #MAYtallica weekend. Listen all weekend long as w…,happy moments
54," #54:  Minawala ed ""...Happy Akshaya Tritya. Life, they say, is a collection of moments...acquiring  jewels is a celebration of good times. We thank all our patrons who celebrate their… https://t.co/K9FnDlX1yz""",happy moments,happy,"...Happy Akshaya Tritya. Life, they say, is a collection of moments...acquiring  jewels is a celebration of good times. We thank all our patrons who celebrate their… https://t.co/K9FnDlX1yz",happy moments
55," #55:  Tan Roncal ed ""  AshTanDefenders: AshTan Moments are the best and makes us happy! Love you two!#PBB8BlackCircle | AshTan https://t.co/uckxrN4wf6""",happy moments,happy,  AshTanDefenders: AshTan Moments are the best and makes us happy! Love you two!#PBB8BlackCircle | AshTan https://t.co/uckxrN4wf6,happy moments
56," #56:  Minawala ed ""...Happy Akshaya Tritya. Life, they say, is a collection of moments...acquiring  jewels is a celebration of good times. We thank all our patrons who celebrate their best… https://t.co/rK1Q4KLxb7""",happy moments,happy,"...Happy Akshaya Tritya. Life, they say, is a collection of moments...acquiring  jewels is a celebration of good times. We thank all our patrons who celebrate their best… https://t.co/rK1Q4KLxb7",happy moments
57," #57:  HIH Princess Elizabeth Dana Windsor ed ""Amidst the cheap, there were also highly intellectual authorities who said ""I am the best across all the locations.""This moment not to be counted? Count for me only lies of the cheap?  Only grieve and not be happy for these good moments? So. I cling to good moments. Airforce.""",happy moments,happy,"Amidst the cheap, there were also highly intellectual authorities who said ",happy moments
58," #58:  Stephanie ed ""  slylingualdina: I’ve been feeling happy and blessed in small moments a lot lately but still feel anxious every day. What has been makin…""",happy moments,happy,  slylingualdina: I’ve been feeling happy and blessed in small moments a lot lately but still feel anxious every day. What has been makin…,happy moments
59," #59:  b ed "" BTS_twt seeing you saturday was one of the happiest moments in my life, from all the heas you sent the crowd from your sweet speech. im so happy you exist in my life, you create the most euphoric moments in my life. without you my happiness doesn’t exist i love you hoseok i really do.""",happy moments,happy," BTS_twt seeing you saturday was one of the happiest moments in my life, from all the heas you sent the crowd from your sweet speech. im so happy you exist in my life, you create the most euphoric moments in my life. without you my happiness doesn’t exist i love you hoseok i really do.",happy moments
60," #60:  Scott A. Williams ed ""Let's be clear, this #AvengersEndgame #Avengers assembled scene was one of the greatest cinematic moments ever. I could literally watch this on loop & be happy. #WhateverItTakes https://t.co/2LFOj1BVZy""",happy moments,happy,"Let's be clear, this #AvengersEndgame #Avengers assembled scene was one of the greatest cinematic moments ever. I could literally watch this on loop & be happy. #WhateverItTakes https://t.co/2LFOj1BVZy",happy moments
61," #61:  [17's  연] ig: precious_svt ed ""  insolategogh: seeing the boys remaking their iconic moments, practicing each other songs in a sho period of time and getting lots and…""",happy moments,happy,"  insolategogh: seeing the boys remaking their iconic moments, practicing each other songs in a sho period of time and getting lots and…",happy moments
62," #62:  Lourdes Rivera ed "" HoneyJoonie94  BTS_twt I love how happy he looks😍😍💜💜 thank you Honey for sharing these precious moments with us💜💜""",happy moments,happy, HoneyJoonie94  BTS_twt I love how happy he looks😍😍💜💜 thank you Honey for sharing these precious moments with us💜💜,happy moments
63," #63:  self lover ed ""HAPPY 18 GAGA  kaerigif LOVE YOUUUUU AND TO MORE KABALIWAN MOMENTS WITH YOU HAHAHAHAHAHAH SA SUSUNOD MAGPA PAY KA NA JUSKO KA 😂 https://t.co/wEfD13HKFh""",happy moments,happy,HAPPY 18 GAGA  kaerigif LOVE YOUUUUU AND TO MORE KABALIWAN MOMENTS WITH YOU HAHAHAHAHAHAH SA SUSUNOD MAGPA PAY KA NA JUSKO KA 😂 https://t.co/wEfD13HKFh,happy moments
64," #64:  Lone Star Aviation Photography ed "" HeroesandCops You sir are a hero. In that little boys final hours, you gave him a reason to smile and believe. For a few moments of his life on Friday, everything was going to be okay and he was happy. You are an angel and someone that I would be honored to meet in person someday.""",happy moments,happy," HeroesandCops You sir are a hero. In that little boys final hours, you gave him a reason to smile and believe. For a few moments of his life on Friday, everything was going to be okay and he was happy. You are an angel and someone that I would be honored to meet in person someday.",happy moments
65," #65:  Make it right💜 ed ""You have many more happy moments to come your way baby 😘😘😘 https://t.co/EnMhhJ59o8""",happy moments,happy,You have many more happy moments to come your way baby 😘😘😘 https://t.co/EnMhhJ59o8,happy moments
66," #66:  eleanor ed ""  MirayaDizon1: Time is ticking fast. Relive the past happy moments while we can. Be the joy to everyone's face. #MaineLovesMAC #ALDUBW…""",happy moments,happy,  MirayaDizon1: Time is ticking fast. Relive the past happy moments while we can. Be the joy to everyone's face. #MaineLovesMAC #ALDUBW…,happy moments
67," #67:  Morgenstern siblings 🖤 ed ""Thank you to everyone #ShadowhuntersChat  Kat_McNamara specially to you. You turned my world upside down just like clary’s. I will always follow you because you made me really happy in my saddest moments. You truly saved me. So, for that, thank you 🧡""",happy moments,happy,"Thank you to everyone #ShadowhuntersChat  Kat_McNamara specially to you. You turned my world upside down just like clary’s. I will always follow you because you made me really happy in my saddest moments. You truly saved me. So, for that, thank you 🧡",happy moments
68," #68:  アッシュ＠DJデミオ15Ｓマニュアル ed ""  doorfumi2018: こっそり出ていくつもりだったが、トガリくんとノラくんが、俺を見送ってくれたぜ。ありがとう。このモーメントで、3日間のお話は一旦おわり。 togarirecords をフォローして、いつか俺らが再会するときを待っててくれよな。https…""",happy moments,happy,  doorfumi2018: こっそり出ていくつもりだったが、トガリくんとノラくんが、俺を見送ってくれたぜ。ありがとう。このモーメントで、3日間のお話は一旦おわり。 togarirecords をフォローして、いつか俺らが再会するときを待っててくれよな。https…,happy moments
69," #69:  Kia🧸 ed ""  SophieT: #WorldMentalHealthDay I understand your pain. Trust me, I do. I’ve seen people go from the darkest moments in their lives to l…""",happy moments,happy,"  SophieT: #WorldMentalHealthDay I understand your pain. Trust me, I do. I’ve seen people go from the darkest moments in their lives to l…",happy moments
70," #70:  MY BABY💚SOPE🇨🇳 ed ""  MY_AURORA_SUGA:  SUGACoffee309 To SUGACoffee:Hope you'll happy forever♡Just like Hoseok said""Do everything what you want to do""Thank…""",happy moments,happy,  MY_AURORA_SUGA:  SUGACoffee309 To SUGACoffee:Hope you'll happy forever♡Just like Hoseok said,happy moments
71," #71:  Renllyred03 ed ""  WayV_official: HAPPY MOMENTS AS ONE♡ #WayV #WeiShenV #威神V#KUN #钱锟 #WINWIN #董思成 #TEN #李永钦 #LUCAS #黄旭熙 #HENDERY #黄冠亨 #XIAOJUN #肖俊 #YAN…""",happy moments,happy,  WayV_official: HAPPY MOMENTS AS ONE♡ #WayV #WeiShenV #威神V#KUN #钱锟 #WINWIN #董思成 #TEN #李永钦 #LUCAS #黄旭熙 #HENDERY #黄冠亨 #XIAOJUN #肖俊 #YAN…,happy moments
72," #72:  ☮︎ Meredith Hale ed ""  joshturnermusic: To hear  randytravis sing “Amen” Saturday night at the  opry will remain one of the most moving moments of my career.…""",happy moments,happy,  joshturnermusic: To hear  randytravis sing “Amen” Saturday night at the  opry will remain one of the most moving moments of my career.…,happy moments
73," #1:  💐𝑹𝒆𝒎𝒊𝒏𝒈𝒕𝒐𝒏🐭💐/2jin au 🕵️‍♀📌 ed ""  hyunseuluttd: loona as the amazing world of gumball; a thread https://t.co/1gQunibqxb""",amazing,happy,  hyunseuluttd: loona as the amazing world of gumball; a thread https://t.co/1gQunibqxb,amazing
74," #2:  Yudiansyah Muhammad ed ""  GooglePlayDev: The 2019 #GooglePlay Awards at #io19 have just wrapped up, celebrating top #Android apps and games across 9 categories.…""",amazing,happy,"  GooglePlayDev: The 2019 #GooglePlay Awards at #io19 have just wrapped up, celebrating top #Android apps and games across 9 categories.…",amazing
75," #3:  Keith T. Greene ed ""  Wendys: THIS IS NOT A DRILL! Spicy Chicken Nuggets are coming back! Y’all are crazy! That took like a day and a half! WHAT?!We don’t…""",amazing,happy,  Wendys: THIS IS NOT A DRILL! Spicy Chicken Nuggets are coming back! Y’all are crazy! That took like a day and a half! WHAT?!We don’t…,amazing
76," #4:  えれな ed ""  _fatpanda_v: let's get this straight. monbebes love mx for their stupid ass personalities, and their amazing talent and music. we get o…""",amazing,happy,"  _fatpanda_v: let's get this straight. monbebes love mx for their stupid ass personalities, and their amazing talent and music. we get o…",amazing
77," #5:  Edgar ed ""Urias was amazing in his first save oppounity, might be sma to limit Jansen to two days back to back and use Urias if needed on the third.""",amazing,happy,"Urias was amazing in his first save oppounity, might be sma to limit Jansen to two days back to back and use Urias if needed on the third.",amazing
78," #6:  channing ed "" KunjaloD  lyliahmtaylor she’s amazing""",amazing,happy, KunjaloD  lyliahmtaylor she’s amazing,amazing
79," #7:  lex❁ ed ""  Nazaninkavari: She looks AMAZING 😍 https://t.co/wrvhLG8bJo""",amazing,happy,  Nazaninkavari: She looks AMAZING 😍 https://t.co/wrvhLG8bJo,amazing
80," #8:  loveBTS❣LEGENDS ed "" BVT_INFOS  BTS_twt voting for our amazing vocal line#MTVBRFANDOMBTSARMY + #PremiosMTVMiaw  BTS_twt""",amazing,happy, BVT_INFOS  BTS_twt voting for our amazing vocal line#MTVBRFANDOMBTSARMY + #PremiosMTVMiaw  BTS_twt,amazing
81," #9:  Sidling Wipeslit*🔸🇪🇺 ed "" CherylBullen Amazing pic!""",amazing,happy, CherylBullen Amazing pic!,amazing
82," #10:  Alison With One L ed ""  Lord_Kristine: The case for replacing confederate monuments with bad triceratops statues:1. They are infinitely more enteaining.2.…""",amazing,happy,  Lord_Kristine: The case for replacing confederate monuments with bad triceratops statues:1. They are infinitely more enteaining.2.…,amazing
83," #11:  KC Dags ed ""  SolanjM: I have the best interpreters and translator ever. Shout out to these amazing women for making us Deaf Armys feel included. Th…""",amazing,happy,  SolanjM: I have the best interpreters and translator ever. Shout out to these amazing women for making us Deaf Armys feel included. Th…,amazing
84," #12:  boy tambay ed "" hearditright  inquirerdotnet  JMAurelioINQ I am basing my actions ser based from my own experience. Did Panelo say migraine aura by the way?""",amazing,happy, hearditright  inquirerdotnet  JMAurelioINQ I am basing my actions ser based from my own experience. Did Panelo say migraine aura by the way?,amazing
85," #13:  Mimmiii ed ""  Michelle101895: I know that not many ppl are going to read this...but I have to put this out in the universe, for myself.  BTS_twt at t…""",amazing,happy,"  Michelle101895: I know that not many ppl are going to read this...but I have to put this out in the universe, for myself.  BTS_twt at t…",amazing
86," #14:  Richard Peters ed ""  _ConnerBrown_: In the open source spirit, here are the slides to ""How Bitcoin will change the world."" I use this to teach Bitcoin and…""",amazing,happy,"  _ConnerBrown_: In the open source spirit, here are the slides to ",amazing
